Municipality,County,Municipality,Year,Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms),Mun_inde
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2015,JCPL,58511214,30960848,1540796,756828,91769686,NJNG,5298920,1286144,NULL,NULL,6585064,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,4612620,1031031,NULL,NULL,5643651,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,4866813,1100490,NULL,NULL,5967303,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2018,JCPL,58693247,30611468,605543,753090,90663348,NJNG,5596974,1277890,NULL,NULL,6874864,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2019,JCPL,57669637,30280678,680672,754056,89385043,NJNG,5322271,1235871,NULL,NULL,6558142,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2020,JCPL,59539032,27512671,812017,754056,88617776,NJNG,4952832,1062107,NULL,NULL,6014939,1
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2021,JCPL,61144726,27735631,837496,754056,90471909,NJNG,5163106,1188122,NULL,NULL,6351228,1
Absecon city,Atlantic,"Absecon city, Atlantic County",2015,ACE,37043312,35627791,NULL,463972,73135075,SJG,2739186,2094018,NULL,NULL,4833203,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2016,ACE,35064773,33972514,NULL,472165,69509452,SJG,2375988,1771235,NULL,NULL,4147223,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2017,ACE,32920965,33410425,NULL,497739,66829129,SJG,2366786,1853163,NULL,NULL,4219949,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2018,ACE,35642558,32764562,NULL,501692,68908812,SJG,2854823,2014647,NULL,NULL,4869471,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2019,ACE,34315354,31774466,NULL,512358,66602178,SJG,2661504,1750723,NULL,NULL,4412227,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2020,ACE,34737469,27957231,NULL,510447,63205147,SJG,2498445,1367073,NULL,NULL,3865518,2
Absecon city,Atlantic,"Absecon city, Atlantic County",2021,ACE,34951610,29448480,NULL,509508,64909598,SJG,2566569,1518760,NULL,NULL,4085329,2
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2015,JCPL,23711407,6022846,20240,24588,29779081,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2018,JCPL,24194813,5109776,28640,24588,29357817,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2019,JCPL,23397455,5104664,13400,24588,28540107,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2020,JCPL,24097340,4408735,18400,24588,28549063,ETG,NULL,NULL,NULL,NULL,0,3
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2021,JCPL,24574772,4641731,62080,24588,29303171,ETG,NULL,NULL,NULL,NULL,0,3
Allamuchy township,Warren,"Allamuchy township, Warren County",2015,JCPL,20730321,6870813,877761,163374,28642269,ETG,1423922,49181,NULL,NULL,1473103,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,1453969,50358,NULL,NULL,1504327,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,1573053,56360,NULL,NULL,1629413,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2018,JCPL,19826158,6130264,868667,166544,26991633,ETG,1814281,65013,NULL,NULL,1879294,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2019,JCPL,19427553,6216614,906539,170969,26721675,ETG,1736972,70243,NULL,NULL,1807215,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2020,JCPL,20289839,5966937,836344,174101,27267221,ETG,2392457,87794,613346,NULL,3093598,4
Allamuchy township,Warren,"Allamuchy township, Warren County",2021,JCPL,20518656,5861348,728512,174288,27282804,ETG,3397057,113509,620752,NULL,4131318,4
Allendale borough,Bergen,"Allendale borough, Bergen County",2015,RECO/PSEG,28346006,29338256,NULL,NULL,57684262,PSEG,3623971,1274183,39453,NULL,4937607,5
Allendale borough,Bergen,"Allendale borough, Bergen County",2016,RECO/PSEG,28068829,31480444,NULL,NULL,59549273,PSEG,3225860,1137864,14268,NULL,4377992,5
Allendale borough,Bergen,"Allendale borough, Bergen County",2017,RECO/PSEG,26736094,31173292,NULL,NULL,57909386,PSEG,3387689,1127450,15649,NULL,4530788,5
Allendale borough,Bergen,"Allendale borough, Bergen County",2018,RECO/PSEG,28070368,30061589,NULL,112628,58244585,PSEG,3704200,1316375,13044,NULL,5033619,5
Allendale borough,Bergen,"Allendale borough, Bergen County",2019,RECO/PSEG,26663680,28432955,NULL,112436,55209071,PSEG,3597916,1269140,11524,NULL,4878580,5
